City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
68,Arinos,BR,2021-12-21 17:18:01,-15.9169,-46.1056,82.24,70,85,3.67
69,Qaanaaq,GL,2021-12-21 17:18:01,77.484,-69.3632,35.38,73,99,10.45
70,Rikitea,PF,2021-12-21 17:18:02,-23.1203,-134.9692,72.9,90,100,12.03
71,Miri,MY,2021-12-21 17:18:02,4.4148,114.0089,77.14,100,20,0.0
72,Okhotsk,RU,2021-12-21 17:19:03,59.3833,143.3,-5.69,88,99,12.19
73,Kodiak,US,2021-12-21 17:14:38,57.79,-152.4072,31.84,74,21,12.82
74,Dukat,RU,2021-12-21 17:19:03,62.55,155.55,-29.0,90,53,4.16
75,Natal,BR,2021-12-21 17:19:04,-5.795,-35.2094,86.65,66,75,12.66
76,Xinzhou,CN,2021-12-21 17:19:04,38.4092,112.7333,32.02,33,0,0.4
77,Nikolskoye,RU,2021-12-21 17:19:05,59.7035,30.7861,9.79,93,100,7.2
78,Uusikaupunki,FI,2021-12-21 17:19:05,60.8004,21.4084,7.32,79,0,5.5
79,Scottsboro,US,2021-12-21 17:19:05,34.6723,-86.0341,49.98,61,90,4.61
80,Talakan,RU,2021-12-21 17:19:05,50.3167,130.3667,-29.81,100,35,2.59
81,Jamestown,US,2021-12-21 17:19:06,42.097,-79.2353,37.02,70,90,7.0
82,Ostrovnoy,RU,2021-12-21 17:19:06,68.0531,39.5131,24.73,67,100,18.3
83,Hlukhiv,UA,2021-12-21 17:19:06,51.6782,33.9162,10.49,78,98,7.56
84,Asau,RO,2021-12-21 17:19:07,46.4333,26.4,22.75,87,91,1.25
85,Abha,SA,2021-12-21 17:19:07,18.2164,42.5053,60.62,88,0,4.61
86,Nabire,ID,2021-12-21 17:19:08,-3.3667,135.4833,76.75,92,98,3.22
87,Hualmay,PE,2021-12-21 17:19:08,-11.0964,-77.6139,72.81,69,49,9.62
88,Liverpool,GB,2021-12-21 17:18:13,53.4106,-2.9779,40.68,83,75,5.99
89,Kamenka,RU,2021-12-21 17:19:08,51.3223,42.7678,2.07,95,47,3.58
90,Hermanus,ZA,2021-12-21 17:19:09,-34.4187,19.2345,87.91,63,0,15.95
91,Pevek,RU,2021-12-21 17:19:09,69.7008,170.3133,-6.27,79,100,13.27
92,Tasiilaq,GL,2021-12-21 17:19:09,65.6145,-37.6368,32.16,61,100,8.88
93,Kargasok,RU,2021-12-21 17:19:10,59.0556,80.8572,1.72,96,100,10.31
94,Katsuura,JP,2021-12-21 17:19:10,35.1333,140.3,44.71,68,0,6.98
95,Smithers,CA,2021-12-21 17:15:07,54.7804,-127.1743,7.12,85,90,3.44
96,Catamarca,AR,2021-12-21 17:19:10,-28.4696,-65.7852,98.78,40,45,1.99
97,Chettipalaiyam,IN,2021-12-21 17:19:11,10.9,77.0667,71.55,83,20,0.0
98,Tabory,RU,2021-12-21 17:19:11,58.5198,64.5495,26.38,96,100,10.0
99,Dikson,RU,2021-12-21 17:19:12,73.5069,80.5464,-25.56,94,96,16.71
100,Thun,CH,2021-12-21 17:19:12,46.7512,7.6217,31.01,86,8,1.01
101,Meulaboh,ID,2021-12-21 17:19:13,4.1363,96.1285,76.64,89,100,4.61
102,Dunedin,NZ,2021-12-21 17:19:13,-45.8742,170.5036,54.81,90,10,1.99
103,Fasa,IR,2021-12-21 17:19:14,28.9383,53.6482,58.24,55,75,4.61
104,Kapit,MY,2021-12-21 17:19:14,2.0167,112.9333,74.03,99,97,1.3
105,Yining,CN,2021-12-21 17:19:14,29.0361,114.5636,48.4,68,0,0.72
106,Aloleng,PH,2021-12-21 17:19:15,16.1307,119.7824,79.05,85,52,8.77
107,Nanortalik,GL,2021-12-21 17:19:15,60.1432,-45.2371,41.29,77,100,26.04
108,Thompson,CA,2021-12-21 17:19:15,55.7435,-97.8558,-12.84,77,75,3.44
109,Tuktoyaktuk,CA,2021-12-21 17:19:16,69.4541,-133.0374,5.0,85,75,14.97
110,Saskylakh,RU,2021-12-21 17:19:16,71.9167,114.0833,-20.88,99,90,4.7
111,Bluff,NZ,2021-12-21 17:19:16,-46.6,168.3333,56.8,71,53,20.51
112,Sarangani,PH,2021-12-21 17:20:17,5.4033,125.4636,81.63,71,100,4.29
113,Salvador,SV,2021-12-21 17:20:17,13.8333,-88.9167,82.8,49,48,4.29
114,Atuona,PF,2021-12-21 17:20:18,-9.8,-139.0333,78.46,76,100,16.84
115,Khatanga,RU,2021-12-21 17:20:18,71.9667,102.5,-22.92,99,98,7.65
116,Sorland,NO,2021-12-21 17:20:18,67.667,12.6934,33.66,66,50,15.01
117,Hilo,US,2021-12-21 17:20:19,19.7297,-155.09,68.11,49,90,6.91
118,Ust-Abakan,RU,2021-12-21 17:20:19,53.8525,91.3742,16.9,92,40,2.24
119,Vanimo,PG,2021-12-21 17:20:20,-2.6741,141.3028,78.51,88,93,8.16
120,Qandala,SO,2021-12-21 17:20:20,11.472,49.8728,77.13,73,91,7.43
121,Kautokeino,NO,2021-12-21 17:20:20,69.0125,23.0412,-7.94,100,100,1.32
122,Ler,SS,2021-12-21 17:20:21,8.3018,30.1418,80.82,25,28,2.53
123,Tarauaca,BR,2021-12-21 17:20:21,-8.1614,-70.7656,84.02,82,94,3.33
124,Nagram,IN,2021-12-21 17:20:21,26.6167,81.1333,53.65,32,0,4.7
125,Ossora,RU,2021-12-21 17:20:22,59.2353,163.0719,15.84,91,100,15.28
126,Oistins,BB,2021-12-21 17:20:22,13.0667,-59.5333,84.29,65,40,21.85
127,Kannur,IN,2021-12-21 17:20:23,11.8675,75.3576,74.5,75,7,2.95
128,Prieska,ZA,2021-12-21 17:20:23,-29.6641,22.7474,89.91,21,58,5.55
129,Safaga,EG,2021-12-21 17:20:23,26.7292,33.9365,61.61,52,100,11.32
130,Ilo,PE,2021-12-21 17:20:23,-17.6394,-71.3375,76.06,69,75,9.22
131,Sakaiminato,JP,2021-12-21 17:20:24,35.55,133.2333,42.78,93,40,8.05
132,Kocser,HU,2021-12-21 17:20:24,47.0017,19.9207,30.94,74,0,2.3
133,Tuatapere,NZ,2021-12-21 17:20:25,-46.1333,167.6833,56.82,76,31,5.03
134,Thayetmyo,MM,2021-12-21 17:20:25,19.3167,95.1833,71.47,67,93,2.86
135,Lata,PT,2021-12-21 17:20:25,40.1629,-8.3327,62.08,84,67,9.89
136,Ranong,TH,2021-12-21 17:20:25,9.9658,98.6348,74.14,81,100,3.2
137,Sobolevo,RU,2021-12-21 17:20:26,54.4299,31.8996,10.54,86,100,11.21
138,Severo-Kurilsk,RU,2021-12-21 17:20:26,50.6789,156.125,22.78,71,9,11.21
139,Cherskiy,RU,2021-12-21 17:18:13,68.75,161.3,-12.69,98,100,11.23
140,Boueni,YT,2021-12-21 17:20:27,-12.9025,45.0761,82.38,70,32,1.77
141,Evensk,RU,2021-12-21 17:20:27,61.95,159.2333,-3.14,63,60,11.23
142,Hithadhoo,MV,2021-12-21 17:20:27,-0.6,73.0833,82.08,72,9,0.58
143,Antalaha,MG,2021-12-21 17:20:28,-14.9003,50.2788,78.75,86,96,0.54
144,Lyuban,BY,2021-12-21 17:20:28,52.7985,28.0048,16.79,78,97,3.83
145,Progreso,MX,2021-12-21 17:20:29,21.2833,-89.6667,81.1,66,100,14.65
146,Sterling,US,2021-12-21 17:18:09,39.0062,-77.4286,42.42,63,90,0.0
147,Diffa,NE,2021-12-21 17:20:29,13.3154,12.6113,72.61,22,1,9.53
148,Bethel,US,2021-12-21 17:21:30,41.3712,-73.414,40.91,60,1,4.61
149,Pareora,NZ,2021-12-21 17:21:30,-44.4871,171.2132,54.99,78,2,3.83
150,Saint-Pierre,RE,2021-12-21 17:21:30,-21.3393,55.4781,78.48,75,0,17.27
151,Kapaa,US,2021-12-21 17:21:31,22.0752,-159.319,73.72,75,90,3.0
152,Nuuk,GL,2021-12-21 17:21:31,64.1835,-51.7216,50.61,29,75,25.32
153,Georgetown,MY,2021-12-21 17:21:13,5.4112,100.3354,78.75,94,40,2.3
154,Lethem,GY,2021-12-21 17:21:32,3.3803,-59.7968,95.95,37,86,8.72
155,Bathsheba,BB,2021-12-21 17:21:32,13.2167,-59.5167,84.81,65,40,21.85
156,Kvarkeno,RU,2021-12-21 17:21:32,52.0833,59.725,33.33,98,100,10.85
157,Cartersville,US,2021-12-21 17:21:33,34.1651,-84.7999,44.38,85,75,1.99
158,Manzhouli,CN,2021-12-21 17:19:30,49.6,117.4333,-11.88,93,17,3.94
159,Shache,CN,2021-12-21 17:21:33,38.4167,77.2406,30.69,41,0,4.05
160,Panguna,PG,2021-12-21 17:21:33,-6.3164,155.4848,69.51,95,77,0.81
161,Iracoubo,GF,2021-12-21 17:21:34,5.4802,-53.2011,82.56,77,87,8.97
162,Margate,GB,2021-12-21 17:21:34,51.3813,1.3862,42.91,68,55,1.01
